maxtempF,mintempF,avgtempF,totalprecipIn
35,30,32,0.05
36,32,34,0.01
36,30,34,0.14
36,27,32,0.0
35,25,29,0.0
33,27,30,0.0
36,26,29,0.0
34,31,33,0.31
32,27,29,0.53
28,18,26,0.57
27,17,21,0.04
30,20,27,1.16
31,25,27,1.55
27,14,22,0.13
28,22,26,0.73
21,-2,10,0.14
0,-15,-8,0.02
10,-13,-4,0.0
12,-5,3,0.0
15,-2,6,0.13
21,9,14,1.56
30,18,23,0.9
24,15,20,0.3
29,21,25,0.01
33,26,30,0.51
33,31,32,0.61
34,32,33,0.17
32,28,30,0.28
33,26,30,0.63
34,30,32,0.11
36,31,34,0.15
39,36,37,0.48
41,38,39,0.01
42,38,40,0.08
39,38,38,0.26
39,37,38,0.18
39,31,35,0.02
35,30,32,0.02
37,29,33,0.02
34,30,32,0.12
37,30,33,0.01
32,27,30,0.04
33,28,30,0.11
33,24,28,0.12
35,23,30,0.0
35,32,33,0.46
33,29,32,0.36
36,25,31,0.03
30,24,27,0.21
27,18,24,0.1
31,16,22,0.0
31,21,25,0.01
32,23,28,0.21
34,27,30,0.07
35,31,33,0.19
35,29,32,0.3
39,27,34,0.01
42,26,33,0.01
34,28,32,0.23
35,26,33,1.73
28,20,24,0.63
29,21,25,0.61
33,29,32,1.2
32,16,27,0.63
29,16,22,0.26
27,9,21,0.16
30,9,18,0.19
29,11,20,0.11
30,8,17,0.0
28,11,19,0.02
31,13,21,0.01
36,20,28,0.0
34,26,29,0.41
33,23,29,0.41
33,25,31,0.26
32,28,30,0.67
32,18,27,0.14
39,17,28,0.0
45,26,34,0.0
52,30,40,0.0
61,38,48,0.0
63,42,51,0.0
59,42,50,0.01
50,37,43,0.06
38,34,36,0.29
42,35,38,0.22
38,34,35,0.99
37,33,34,0.34
36,32,34,0.35
36,29,33,0.31
34,28,32,0.45
38,28,33,0.36
42,28,34,0.16
45,25,35,0.0
49,30,39,0.0
53,32,42,0.0
60,39,48,0.0
39,29,34,0.29
31,25,29,0.31
34,27,31,0.09
37,29,32,0.2
35,30,32,0.26
40,30,35,0.4
42,34,38,0.39
50,29,40,0.0
46,35,39,0.01
48,36,42,0.01
61,36,48,0.0
55,37,45,0.0
37,30,34,0.11
37,26,31,0.12
46,28,36,0.07
48,30,38,0.01
51,31,41,0.0
55,32,40,0.29
39,31,34,0.17
53,26,39,0.0
59,34,46,0.0
49,37,42,0.02
38,37,38,0.24
45,37,40,0.18
40,35,37,0.4
38,32,36,0.48
35,27,31,0.62
