maxtempF,mintempF,avgtempF,totalprecipIn
34,25,30,0.51
35,33,34,0.4
35,25,33,0.47
28,20,24,0.27
26,16,21,0.21
19,5,12,0.0
17,3,11,0.1
32,13,24,1.52
36,32,34,0.95
36,33,35,0.41
37,32,34,0.8
37,36,37,2.53
35,28,32,0.81
31,23,27,0.08
29,9,20,0.0
32,14,26,0.22
34,30,32,0.69
33,25,28,0.0
35,25,31,0.03
39,33,35,0.22
37,27,33,0.09
45,25,34,0.0
45,28,36,0.0
37,30,34,0.2
36,33,34,0.46
34,24,30,0.16
29,13,22,0.0
24,9,15,0.0
31,10,20,0.0
35,21,31,0.19
36,33,35,0.62
34,30,31,0.0
37,31,34,0.48
33,25,29,0.5
32,23,27,0.0
32,15,22,0.0
36,17,25,0.0
39,25,31,0.0
40,29,33,0.56
37,28,32,0.15
34,27,32,0.46
31,22,27,0.25
31,10,22,0.06
29,17,23,0.05
32,14,21,0.0
31,12,21,0.0
29,16,21,0.0
31,17,24,0.22
24,18,22,0.59
24,9,19,0.25
18,0,11,0.07
14,-8,2,0.0
21,-9,9,0.12
30,20,25,0.74
27,21,24,1.17
31,21,26,0.38
33,27,30,0.31
34,24,28,0.36
32,18,26,0.22
36,25,29,0.04
32,22,26,0.0
30,18,24,0.0
34,21,28,0.22
35,25,32,0.84
37,26,32,1.06
35,24,29,0.02
35,25,30,0.13
33,27,31,0.45
36,30,32,0.32
37,28,33,0.52
33,24,29,0.12
34,21,27,0.02
33,22,29,0.57
36,17,27,0.02
34,22,28,0.11
35,26,31,0.11
34,21,27,0.01
36,18,29,0.0
39,28,33,0.07
36,26,31,0.28
35,26,31,0.26
36,26,31,0.32
35,25,31,0.03
36,31,33,0.53
39,34,36,2.26
39,33,37,1.22
41,32,36,0.39
33,27,30,0.56
35,23,29,0.01
34,27,31,1.11
33,27,30,0.5
30,20,27,0.3
33,20,27,0.0
38,15,28,0.0
38,22,32,0.0
40,29,34,0.13
34,25,30,0.3
40,19,30,0.0
36,25,30,0.21
36,26,30,0.61
39,24,32,0.16
38,26,34,0.15
34,19,28,0.02
34,18,26,0.08
37,20,28,0.0
42,19,31,0.0
34,24,29,0.35
43,23,32,0.0
48,23,35,0.0
39,27,34,0.11
37,29,33,0.42
40,28,33,0.12
40,27,33,0.36
34,26,30,0.22
39,25,32,0.01
41,26,34,0.01
44,25,32,0.0
41,25,32,0.13
37,25,30,0.04
32,23,27,0.0
38,23,28,0.0
38,24,29,0.0
37,26,31,0.09
42,29,34,0.05
42,30,34,0.0
49,29,36,0.0
41,25,32,0.47
35,23,29,0.46
34,30,32,0.52
32,23,29,0.43
33,22,26,0.08
31,21,25,0.77
32,25,27,0.95
27,14,20,0.07
26,9,18,0.02
23,4,14,0.0
31,17,26,0.32
35,31,34,2.26
35,23,32,0.68
30,18,26,0.51
31,23,26,0.21
33,27,31,0.02
37,29,32,0.5
33,18,26,0.0
35,20,27,0.09
32,15,27,0.09
37,15,24,0.0
31,15,22,0.01
30,14,21,0.0
35,16,23,0.0
34,13,22,0.0
33,20,25,0.0
33,18,24,0.0
35,14,23,0.0
32,19,23,0.0
33,19,25,0.0
30,20,25,0.0
28,15,20,0.0
27,14,20,0.0
31,21,25,0.0
34,26,29,0.13
39,25,31,0.0
42,26,33,0.0
35,26,32,0.09
36,23,27,0.0
33,27,29,0.15
32,19,25,0.0
29,16,20,0.0
34,20,28,0.04
41,29,34,0.05
33,26,29,0.35
34,25,29,0.09
36,30,34,0.92
38,34,37,2.08
35,31,33,0.72
35,24,29,0.99
28,22,24,0.02
30,22,24,0.08
33,23,28,0.29
37,29,33,0.01
38,29,33,0.29
33,20,29,0.26
30,18,25,0.02
30,24,28,0.0
40,28,33,0.0
34,26,31,0.16
30,19,25,0.06
26,14,19,0.0
28,13,20,0.0
38,22,29,0.0
30,17,24,0.31
23,13,18,0.21
22,13,18,0.18
23,15,19,0.66
21,14,17,1.39
28,21,25,0.72
29,23,27,0.46
31,22,27,0.66
26,18,24,0.37
29,12,20,0.03
35,20,26,1.17
33,27,30,0.87
33,18,26,0.5
29,6,16,0.0
34,13,26,0.02
35,33,34,0.88
33,26,30,0.31
35,28,31,0.01
32,23,29,0.48
34,18,25,0.0
31,19,23,0.0
33,18,24,0.0
33,17,23,0.0
33,18,24,0.0
33,20,25,0.0
34,24,29,0.17
34,28,31,0.13
34,30,32,0.15
34,25,31,0.09
33,19,27,0.0
33,25,29,0.02
31,17,26,0.14
32,18,24,0.0
33,22,28,0.13
35,28,31,0.39
30,27,29,0.78
